LATITUDE,LONGITUDE,ALTITUDE
28.941332499999998,-13.7103125,14336
28.94279,-13.710485,14368
28.94425,-13.7106575,14400
28.94571,-13.71083,14428
28.94717,-13.71083,14456
28.94863,-13.71083,14488
28.9500025,-13.71083,14512
28.951375,-13.71083,14536
28.9527475,-13.711,14564
28.95412,-13.71117,14584
28.955579999999998,-13.71134,14608
28.95704,-13.71151,14632
28.9585,-13.7116825,14652
28.95996,-13.711855,14672
28.96142,-13.7120275,14692
28.96288,-13.7122,14712
28.96434,-13.7122,14728
28.9658,-13.7122,14748
28.967257500000002,-13.7122,14772
28.968715000000003,-13.7122,14792
28.9701725,-13.712372499999999,14816
28.97163,-13.712544999999999,14840
28.973175,-13.7127175,14868
28.97472,-13.71289,14896
28.976265,-13.71289,14924
28.97781,-13.71289,14956
28.97927,-13.71289,14984
28.98073,-13.71289,15016
28.982190000000003,-13.71306,15044
28.98365,-13.71323,15076
28.98511,-13.7134,15104
28.98657,-13.71357,15136
28.988030000000002,-13.71357,15160
28.98949,-13.71357,15188
28.9909475,-13.71357,15208
28.992404999999998,-13.71357,15232
28.9938625,-13.7137425,15252
28.99532,-13.713915,15272
28.996865,-13.7140875,15288
28.99841,-13.71426,15304
28.999955,-13.71426,15320
29.0015,-13.71426,15332
29.00296,-13.71426,15344
29.00442,-13.71426,15356
29.005879999999998,-13.7144325,15364
29.00734,-13.714604999999999,15372
29.008885,-13.7147775,15384
29.01043,-13.71495,15392
29.011975,-13.71495,15400
29.01352,-13.71495,15408
29.015065,-13.71495,15416
29.01661,-13.71495,15424
29.018155,-13.71512,15432
29.0197,-13.71529,15440
29.021245,-13.71546,15448
29.02279,-13.71563,15452
29.024335,-13.7158025,15460
29.02588,-13.715975,15468
29.02751,-13.7161475,15476
29.029139999999998,-13.71632,15484
29.03077,-13.71632,15492
29.0324,-13.71632,15496
29.033945,-13.71632,15504
29.03549,-13.71632,15512
29.037035,-13.7164925,15520
29.03858,-13.716664999999999,15532
29.040210000000002,-13.7168375,15540
29.04184,-13.71701,15548
29.04347,-13.71701,15556
29.0451,-13.71701,15564
29.0467325,-13.71701,15576
29.048365,-13.71701,15584
29.0499975,-13.717179999999999,15592
29.05163,-13.71735,15604
29.05326,-13.71752,15612
29.05489,-13.71769,15624
29.05652,-13.717862499999999,15632
29.05815,-13.718035,15644
29.059867500000003,-13.7182075,15652
29.061585,-13.71838,15664
29.0633025,-13.71838,15672
29.06502,-13.71838,15684
29.06665,-13.71838,15692
29.06828,-13.71838,15700
29.06991,-13.7185525,15708
29.07154,-13.718725,15716
29.0732575,-13.7188975,15724
29.074975000000002,-13.71907,15732
29.0766925,-13.71907,15740
29.07841,-13.71907,15752
